// Banco de dados de itens obtidos do álbum de cartão antigo
//
// Traduzido por: (Guru)
//
// Estrutura do banco de dados:
// GroupID,ItemID,Rate

IG_CardAlbum,4001,10	// Carta Poring
IG_CardAlbum,4002,10	// Carta Fabre
IG_CardAlbum,4003,6		// Carta Pupa
IG_CardAlbum,4004,11	// Carta Drops
IG_CardAlbum,4005,1		// Carta Santa Poring
IG_CardAlbum,4006,7		// Carta Lunatic
IG_CardAlbum,4007,4		// Carta Peco Peco Egg
IG_CardAlbum,4008,10	// Carta Picky
IG_CardAlbum,4009,10	// Carta Chonchon
IG_CardAlbum,4010,10	// Carta Willow
IG_CardAlbum,4011,10	// Carta Picky Egg
IG_CardAlbum,4012,8		// Carta Thief Bug Egg
IG_CardAlbum,4013,7		// Carta Andre Egg
IG_CardAlbum,4014,5		// Carta Roda Frog
IG_CardAlbum,4015,7		// Carta Condor
IG_CardAlbum,4016,7		// Carta Thief Bug
IG_CardAlbum,4017,5		// Carta Savage Babe
IG_CardAlbum,4019,5		// Carta Hornet
IG_CardAlbum,4020,5		// Carta Farmiliar
IG_CardAlbum,4021,5		// Carta Rocker
IG_CardAlbum,4022,5		// Carta Spore
IG_CardAlbum,4023,5		// Carta Baby Desert Wolf
IG_CardAlbum,4024,5		// Carta Plankton
IG_CardAlbum,4025,5		// Carta Skeleton
IG_CardAlbum,4026,3		// Carta Female Thief Bug
IG_CardAlbum,4027,3		// Carta Kukre
IG_CardAlbum,4028,3		// Carta Tarou
IG_CardAlbum,4029,3		// Carta Wolf
IG_CardAlbum,4030,3		// Carta Mandragora
IG_CardAlbum,4031,3		// Carta Peco Peco
IG_CardAlbum,4032,3		// Carta Ambernite
IG_CardAlbum,4033,3		// Carta Poporing
IG_CardAlbum,4034,3		// Carta Wormtail
IG_CardAlbum,4035,3		// Carta Hydra
IG_CardAlbum,4036,3		// Carta Muka
IG_CardAlbum,4037,3		// Carta Snake
IG_CardAlbum,4038,3		// Carta Zombie
IG_CardAlbum,4039,3		// Carta Stainer
IG_CardAlbum,4041,3		// Carta Coco
IG_CardAlbum,4042,3		// Carta Steel Chonchon
IG_CardAlbum,4043,3		// Carta Andre
IG_CardAlbum,4044,3		// Carta Smokie
IG_CardAlbum,4045,3		// Carta Horn
IG_CardAlbum,4046,3		// Carta Martin
IG_CardAlbum,4048,3		// Carta Poison Spore
IG_CardAlbum,4049,3		// Carta Vadon
IG_CardAlbum,4050,3		// Carta Male Thief Bug
IG_CardAlbum,4051,3		// Carta Yoyo
IG_CardAlbum,4052,3		// Carta Elder Willow
IG_CardAlbum,4053,1		// Carta Vitata
IG_CardAlbum,4055,3		// Carta Marina
IG_CardAlbum,4056,3		// Carta Dustiness
IG_CardAlbum,4057,2		// Carta Metaller
